Case Label,Case ID,Transcript,Position,Input Token,Model True Prediction,Layer,Baseline (logit-lens),Pure ASR,Mixed 50/50,Pure QA,
QA held-out example,VAL_QA_000,pig,138,：,<|im_end|> | [ | <|im_start|> | ' | pig | 这是一个,0,1 |  | - | 5 | ( | 2,是否有 | 不要 | 没有人 | 是否 | 有一位 | 发生了,（ | 从 | 是否 | 是否有 | ； | 不要,（ | ； | 0 | 1 | <|endoftext|> | 有机,
QA held-out example,VAL_QA_000,pig,138,：,<|im_end|> | [ | <|im_start|> | ' | pig | 这是一个,8, | - | z | ( | on | in,未知 | <|im_end|> | 这不是 | ♯ | 靠近 | 钹,``` | 这不是 | unknown | ： | 未知 | 瓶子,``` | （ | n | :// | 是一 | 或,
QA held-out example,VAL_QA_000,pig,138,：,<|im_end|> | [ | <|im_start|> | ' | pig | 这是一个,16,描述 | 包括 | ground | 感受到了 | 工 | 正,<|im_end|> |  | ' |  | <|im_start|> | \n,"<|im_end|> |  |  | ' | () | """,<|im_end|> |  |  | ``` | () | ',
QA held-out example,VAL_QA_000,pig,138,：,<|im_end|> | [ | <|im_start|> | ' | pig | 这是一个,20,放 | 描述 | 既有 | 接 | 包括 | 它,<|im_end|> | <|im_start|> | ' | 、「 | 「 | (),<|im_end|> | () |  | ' | 、「 | 「,"<|im_end|> | () |  | ' |  | """,
QA held-out example,VAL_QA_000,pig,138,：,<|im_end|> | [ | <|im_start|> | ' | pig | 这是一个,24,它 | 它是 | 包含了 | it | 一只 | 是一,<|im_end|> | 这是一个 | pigs | pig | audio | 豚,<|im_end|> | 这是一个 | 是一 | 它是 | 豚 | 这是一种,<|im_end|> | 是一 | 这是一个 | 这是一种 | 这是 | 它的,
QA held-out example,VAL_QA_000,pig,138,：,<|im_end|> | [ | <|im_start|> | ' | pig | 这是一个,28,<|im_end|> | 它是 | 它 | 这是一个 | 一只 | 这是一种,"<|im_end|> | <|im_start|> | {\"" | 这是一个 | 「 | \""]","<|im_end|> | <|im_start|> | 这是一个 | {\"" | \""] | 「","<|im_end|> | <|im_start|> | 、「 | \""] | {\"" | 这是一个",
QA held-out example,VAL_QA_000,pig,138,：,<|im_end|> | [ | <|im_start|> | ' | pig | 这是一个,30,<|im_end|> | [ | 这是一个 | [[ | 一遍 | pig,"<|im_end|> | <|im_start|> | {\"" | \""] | 这是一个 | [[","<|im_end|> | <|im_start|> | \""] | [[ | {\"" | 这是一个","<|im_end|> | <|im_start|> | \""] | [[ | 音 | {\""",
QA held-out example,VAL_QA_000,pig,139,pig,"<|im_end|> | o | , | -o | O | .o",0,含有 | flag | best | 侠 | exp | 完美,<|0.00|> | ood | 累 | 床 | <|10.97|> | ladder,"<|0.00|> | , | sleep | oods | 累 | ladder",", | in | 从小 | and | 底 | ;",
QA held-out example,VAL_QA_000,pig,139,pig,"<|im_end|> | o | , | -o | O | .o",8,gy | <|0.00|> | 拉丁 | let | me | 跃,sh | pigs | pig | me | ood | ford,pigs | ford | pig | ging | Pig | der,ford | pigs | 委宣传 | ging | Pig | ['.,
QA held-out example,VAL_QA_000,pig,139,pig,"<|im_end|> | o | , | -o | O | .o",16,跃 | ly | 厉 | try | gy | 数目,pig | pigs | let | Pig | sh | p,pig | pigs | ly | let | Pig | sound,mentation | pig | ly | pigs | 紧跟 | udio,
QA held-out example,VAL_QA_000,pig,139,pig,"<|im_end|> | o | , | -o | O | .o",20,gy | let | 烈 | rist | 拱 | ging,pig | 的声音 | sound | 声音 | 声 | Pig,sound | pig | mentation | 的声音 | 声音 | Pig,sound | pig | mentation | 这个词 | noise | sounds,
QA held-out example,VAL_QA_000,pig,139,pig,"<|im_end|> | o | , | -o | O | .o",24,pig | gy | 鼻子 | 猪 | 拱 | let,pig | 猪 | Pig | pigs | pig | pork,pig | 猪 | Pig | pigs | pig | pork,pig | 猪 | pig | Pig | pigs | pork,
QA held-out example,VAL_QA_000,pig,139,pig,"<|im_end|> | o | , | -o | O | .o",28,let | gy | o | 幽 | 鼻子 | noises,pig | <|im_end|> | let | gy | ging | 猪,<|im_end|> | pig | mentation | ging | let | noises,<|im_end|> | pig | mentation | ging | noises | 鼻子,
QA held-out example,VAL_QA_000,pig,139,pig,"<|im_end|> | o | , | -o | O | .o",30,"o | -o | <|im_end|> | O | , | let","<|im_end|> | o | , | noises | sque | ","<|im_end|> | o | , | noises | _sound | let","<|im_end|> | o | , | let | noises | _sound",
QA held-out example,VAL_QA_010,clock_tick,136,是,什麼 | 從 | 怎 | 什 | 怎麼 | 甚,0, | 将 | 开 | 大 | - | 把,由 | 接 | 是 | 被 | 从 | 而不是,由 | 出口 | 接 | 必要的 | 是 | 的是,输出 | 把 | what | one | 必要的 | people,
QA held-out example,VAL_QA_010,clock_tick,136,是,什麼 | 從 | 怎 | 什 | 怎麼 | 甚,8,为 | 属于 | 站在 | /w | 完全 | 针对,而不是 | 声音 | 是 | 是在 | 喇叭 | 不是,而不是 | 是 | 声音 | 不是 | 吗 | 音,吗 | 而不是 | 把 | 是 | 完全 | what,
QA held-out example,VAL_QA_010,clock_tick,136,是,什麼 | 從 | 怎 | 什 | 怎麼 | 甚,16,法 | worth | 来自 | sorry | 有多么 | 真的很,样的 | 什麼 | 什么样的 | 白色的 | 製 | 怎,样的 | what | 何 | 些什么 | 白色的 | 什么样的,what | 些 | 样的 | 回事 | 的内容 | ？,
QA held-out example,VAL_QA_010,clock_tick,136,是,什麼 | 從 | 怎 | 什 | 怎麼 | 甚,20,怎 | 什麼 | 来自于 | 描述 | what | 来自,什麼 | 怎 | 样的 | 什么样的 | 听起来 | 如何,怎 | 什麼 | 样的 | 什么样的 | 听起来 | what,怎 | 样的 | 什麼 | what | 什么样的 | 「,
QA held-out example,VAL_QA_010,clock_tick,136,是,什麼 | 從 | 怎 | 什 | 怎麼 | 甚,24,怎 | what | 什麼 | 什 | gì | 些什么,什麼 | 怎 | 什么样的 | 什么 | gì | what,什麼 | 怎 | 什么样的 | what | 什么 | gì,怎 | 什麼 | what | 什么样的 | 什么 | 些什么,
QA held-out example,VAL_QA_010,clock_tick,136,是,什麼 | 從 | 怎 | 什 | 怎麼 | 甚,28,什麼 | 怎 | 什 | what | gì | 甚,什麼 | 怎 | 什 | 乾 | 怎麼 | 什么样的,什麼 | 怎 | 乾 | 什 | 什么 | what,什麼 | 怎 | what | 乾 | 何 | 什,
QA held-out example,VAL_QA_010,clock_tick,136,是,什麼 | 從 | 怎 | 什 | 怎麼 | 甚,30,什麼 | 怎 | 什 | 從 | 甚 | what,什麼 | 怎 | 什 | 怎麼 | 從 | 乾,什麼 | 怎 | 什 | 怎麼 | 從 | 乾,什麼 | 怎 | 何 | 什 | 從 | 乾,
QA held-out example,VAL_QA_010,clock_tick,138,：,<|im_end|> | ' | ' | <|im_start|> | 音 | \,0,1 |  | - | 5 | st | 2,是否有 | 不要 | 是否 | 没有人 | 从 | 有一位,（ | 是否 | 从 | 是否有 | 不要 | ；,（ | ； | 0 | <|endoftext|> | ； | 有机,
QA held-out example,VAL_QA_010,clock_tick,138,：,<|im_end|> | ' | ' | <|im_start|> | 音 | \,8, | - | ( | z | 轻 | it,<|im_end|> | ♯ | 未知 | 钹 | nearer | iş,♯ | ``` | unknown | 这不是 | 未知 | 尖,``` | 或 | 尖 | frontend | 是一 | ://,
QA held-out example,VAL_QA_010,clock_tick,138,：,<|im_end|> | ' | ' | <|im_start|> | 音 | \,16,描述 | 裁定 | 行 | 特 | 天天 | 取,"<|im_end|> |  | ' |  | () | ""","<|im_end|> |  | ' |  | () | """," | <|im_end|> | "" |  | () | '",
QA held-out example,VAL_QA_010,clock_tick,138,：,<|im_end|> | ' | ' | <|im_start|> | 音 | \,20,描述 | descriptions | 包含了 | 涉及到 | 取 | 指的是,"<|im_end|> | ' | () | \n | <|im_start|> | ""","<|im_end|> | () | ' | "" |  | ","<|im_end|> | () | ' | "" |  | ",
QA held-out example,VAL_QA_010,clock_tick,138,：,<|im_end|> | ' | ' | <|im_start|> | 音 | \,24,它 | 是一 | 它是 | 一只 | 这是一个 | it,<|im_end|> | 这是一个 | 是一 | audio | 是一部 | ',<|im_end|> | 是一 | 这是一个 | ' | 是一部 | (),"<|im_end|> | 是一 | () | "" | ' | 它",
QA held-out example,VAL_QA_010,clock_tick,138,：,<|im_end|> | ' | ' | <|im_start|> | 音 | \,28,它是 | <|im_end|> | 它 | 是一件 | 是一 | 这是一个,"<|im_end|> | <|im_start|> | {\"" | \""] | ' | 由於","<|im_end|> | <|im_start|> | \""] | {\"" | ' | 水流","<|im_end|> | \""] | <|im_start|> | 是一 | 水流 | 它是",
QA held-out example,VAL_QA_010,clock_tick,138,：,<|im_end|> | ' | ' | <|im_start|> | 音 | \,30,<|im_end|> | 是一件 | 音 | 是一 | 这是一个 | ingle,"<|im_end|> | <|im_start|> | \""] | {\"" | 音 | 由於","<|im_end|> | <|im_start|> | \""] | 音 | {\"" | '","<|im_end|> | <|im_start|> | \""] | 音 | ' | {\""",
QA held-out example,VAL_QA_010,clock_tick,139,clock,"<|im_end|> | ticking | tick | clicking | , | 的",0,反 |  | s | — | . | *,欢 | 就是在 | 的声音 | 应当 | <|1.38|> | 音,GetComponent | 倾听 | nowledge | 新闻发布 | 榫 | migr,赌 | 不服 | 新闻发布 | .*?) | � | узнать,
QA held-out example,VAL_QA_010,clock_tick,139,clock,"<|im_end|> | ticking | tick | clicking | , | 的",8,s | 台上 | ed | ly | 裂 | 原因是,钟 | clock | Clock | clock | s | ticking,clock | 钟 | clock | s | Clock | ticking,nowledge | ♯ | 聽 | clock | clock | s,
QA held-out example,VAL_QA_010,clock_tick,139,clock,"<|im_end|> | ticking | tick | clicking | , | 的",16,s | t | m |  | 赶 | 企,s | 钟 | d | _ | clock | 's,s | clock | 钟 | 是什么 | 齿轮 | ticking,中介机构 | clock | ticking | ify | ámb | clock,
QA held-out example,VAL_QA_010,clock_tick,139,clock,"<|im_end|> | ticking | tick | clicking | , | 的",20,s | ing | ... | 赶 | sin | 摆在,s | _ | ing | 的声音 | 滴 | 声,ticking | s | 滴 | 钟 | sound | ing,ticking | sound | 钟 | 兹 | 遇 | ringing,
QA held-out example,VAL_QA_010,clock_tick,139,clock,"<|im_end|> | ticking | tick | clicking | , | 的",24,s | 机械 | 走 | ticking | 滴 | 敲,ticking | clock | s | tick | _ | 滴,ticking | clock | tick | 滴 | s | Tick,ticking | clock | tick | Tick | 滴 | Clock,
QA held-out example,VAL_QA_010,clock_tick,139,clock,"<|im_end|> | ticking | tick | clicking | , | 的",28,ticking | tick | s | clicking | - | y,ticking | tick | <|im_end|> | tick | 滴 | Tick,ticking | tick | <|im_end|> | clicking | tick | Tick,ticking | <|im_end|> | tick | clicking | tick | Tick,
QA held-out example,VAL_QA_010,clock_tick,139,clock,"<|im_end|> | ticking | tick | clicking | , | 的",30,"tick | ticking | , | clicking | T | s","<|im_end|> | ticking | tick | , | clicking | ","<|im_end|> | ticking | tick | , | clicking | �",<|im_end|> | ticking | tick | clicking | � | 的,
QA held-out example,VAL_QA_010,clock_tick,140,_tick,<|im_end|> | -to |  | . | 。 | _to,0,曲 | phrase | 丝 | 处 | — | ,<|0.00|> | 拉丁 | 心跳 | 螺 | illard | 蚤,拉丁 | bitset | ticking | 签署 | 笔试 | nowledge,DSL | 一個人 | ámb | appré | 页面 | ROW,
QA held-out example,VAL_QA_010,clock_tick,140,_tick,<|im_end|> | -to |  | . | 。 | _to,8,处 | 反 | 咽 | 悠悠 | 薄 | 落下,_ | __ | _ | ticking | 好感 | tick,_ | __ | _ | ticking | __ | 好感,两家 | 逼 | 悠悠 | encode | nowledge | __,
QA held-out example,VAL_QA_010,clock_tick,140,_tick,<|im_end|> | -to |  | . | 。 | _to,16,的灵魂 | 做好 | 我能 | 落下 | 咬 | 履,_ | _ | __ | _{ | ._ | ___,_ | _ | __ | ._ | _{ | _t,_ | _ | ._ | __ | _{ | _A,
QA held-out example,VAL_QA_010,clock_tick,140,_tick,<|im_end|> | -to |  | . | 。 | _to,20,声 | 履 | 急 | 侧重 | 恤 | pires,_ | _ | __ | 的声音 | 声响 | ._,_ | _ | __ | ._ | 的声音 | 声响,_ | compareTo | ._ | 聲 | 履 | _,
QA held-out example,VAL_QA_010,clock_tick,140,_tick,<|im_end|> | -to |  | . | 。 | _to,24,还有 | 声 | 在这里 | 光明 | 侧重 | 其次,_ | 的声音 |  | sound | 声 | 声响,<|im_end|> | _ | sound | 声 | clock | 的声音,<|im_end|> | ticking | _ | clock | 声 | compareTo,
QA held-out example,VAL_QA_010,clock_tick,140,_tick,<|im_end|> | -to |  | . | 。 | _to,28,-to | 还有 | 光明 | ticking | 声 | 过了,<|im_end|> | 的声音 |  | tick | ticking | -to,<|im_end|> | _ | 声 | <|im_start|> | 的声音 | ticking,"<|im_end|> | <|im_start|> | 声 | _ | _tick | .\""",
QA held-out example,VAL_QA_010,clock_tick,140,_tick,<|im_end|> | -to |  | . | 。 | _to,30,<|im_end|> | -to |  | 声 | ingle | .,"<|im_end|> |  | . | , | -to | 。",<|im_end|> |  | 声 | 。 | . | -to,<|im_end|> | 声 | 。 | 的声音 | � | ,
QA held-out example,VAL_QA_020,thunderstorm,137,什麼,<|im_end|> | 。 | ？ | 样的 | ： | 。,0,iate | stand | scal | 着 | 固体 | 量,徵 | 佔 | 什麼 | 採 | 著 | 於,徵 | 叫做 | 著 | 製作 | 佔 | 乾,♯ | 是我 | ype | 淡化 | 舍 | 是我的,
QA held-out example,VAL_QA_020,thunderstorm,137,什麼,<|im_end|> | 。 | ？ | 样的 | ： | 。,8,exact | 样的 | 了 | rare | as | 双,？ | 叫做 | 样子 | 叫 | 声音 | 形状,？ | ？ | 呢 | 声音 | 叫 | 样子,"？ | ？ | ? | 呢 | ？ | ?""",
QA held-out example,VAL_QA_020,thunderstorm,137,什麼,<|im_end|> | 。 | ？ | 样的 | ： | 。,16,样的 | 样 | 样子 | 意思 | 及其 | exactly,？ | 样的 | 样子 | 什麼 | ？ | 製,？ | ？ | 样的 | 样子 | ？」 | ？,？ | ？ | 样的 | ？」 | 样子 | ？,
QA held-out example,VAL_QA_020,thunderstorm,137,什麼,<|im_end|> | 。 | ？ | 样的 | ： | 。,20,样的 | 样子 | 样 | 樣 | 性质 | 及其,样的 | 样子 | 样 | ？ | 樣 | <|im_end|>,样的 | 样子 | ？ | ？ | 样 | <|im_end|>,样的 | 样子 | ？ | ？ | 样 | ？,
QA held-out example,VAL_QA_020,thunderstorm,137,什麼,<|im_end|> | 。 | ？ | 样的 | ： | 。,24,样的 | 样子 | ? | 模 | kind | ,样的 | <|im_end|> | 样子 | ？ | ？ | 樣,样的 | ？ | 样子 | ？ | <|im_end|> | ?,样的 | ？ | ？ | 样子 | <|im_end|> | ,
QA held-out example,VAL_QA_020,thunderstorm,137,什麼,<|im_end|> | 。 | ？ | 样的 | ： | 。,28,样的 | 样子 | 型 | <|im_end|> | 樣 | 为主的,<|im_end|> | 样的 | 样子 | 樣 | <|im_start|> | 型,<|im_end|> | 样的 | 样子 | 樣 | <|im_start|> | 样,<|im_end|> | 样的 | 样子 | 樣 | ？ | ？,
QA held-out example,VAL_QA_020,thunderstorm,137,什麼,<|im_end|> | 。 | ？ | 样的 | ： | 。,30,<|im_end|> | 样的 | 型 | 样子 | 。 | 类型的,<|im_end|> | 样的 | 樣 | <|im_start|> | 。 | 样子,<|im_end|> | 样的 | 。 | 樣 | <|im_start|> | 型,<|im_end|> | 样的 | 。 | ？ | ？ | 樣,
QA held-out example,VAL_QA_020,thunderstorm,139,th,under | ump | Under | und | Thunder | unders,0," | 1 | ... | . | "" | ",th | th | eth | Th | day | t,th | th | ither | eth | Th | ah,间接 | 炊 | slash | � | ither | 具体的,
QA held-out example,VAL_QA_020,thunderstorm,139,th,under | ump | Under | und | Thunder | unders,8,1 | 2 | 0 | 3 | A | re,t | th | at | in | un | t,th | t | re | ay | ath | out,ow | <|yue|> | th | ath | ay | ng,
QA held-out example,VAL_QA_020,thunderstorm,139,th,under | ump | Under | und | Thunder | unders,16,1 | im | ys | ve | de | 2,t | re | ist | th | t | out,re | th | t | out | ist | ong,ong | th | re | out | <|yue|> | zh,
QA held-out example,VAL_QA_020,thunderstorm,139,th,under | ump | Under | und | Thunder | unders,20,1 | 2 | 一声 | - | 琵 | ·,sound | th | 的声音 | 音 | sounds | im,th | sound | sounds | im | ng | 音,th | 厚 | ng | ano | ay | p,
QA held-out example,VAL_QA_020,thunderstorm,139,th,under | ump | Under | und | Thunder | unders,24,雷 | thunder | p | ng | Thunder | 大雨,thunder | rain | 大雨 | 雷 | Thunder | th,thunder | rain | 大雨 | th | Thunder | 雷,thunder | rain | th | Thunder | 大雨 | rain,
QA held-out example,VAL_QA_020,thunderstorm,139,th,under | ump | Under | und | Thunder | unders,28,under | 雷 | Thunder | 隆 | 雷霆 | thunder,thunder | Thunder | storm | 雷霆 | storm | under,thunder | Thunder | storm | 雷霆 | under | storm,thunder | storm | Thunder | 雷霆 | under | 保姆,
QA held-out example,VAL_QA_020,thunderstorm,139,th,under | ump | Under | und | Thunder | unders,30,under | und | Thunder | � | Under | thunder,under | thunder | Thunder | und | 风暴 | rust,under | thunder | Thunder | und | ump | 风暴,under | thunder | ump | Thunder | und | rust,
QA held-out example,VAL_QA_020,thunderstorm,140,under,"storm | <|im_end|> | 雷 | , | and | ，",0, | ( | * | - | 前 | k,under | under | Under | 巢 | th | 括,under | 名人 | under | subt | 奥林匹克 | repeating,名人 | 综合实力 | BeautifulSoup | 赌 | row | 罅,
QA held-out example,VAL_QA_020,thunderstorm,140,under,"storm | <|im_end|> | 雷 | , | and | ，",8,ous | ly | 不对 | 冀 | ling | 闭,thunder | Thunder | 雷霆 | 雷 | Thunder | lightning,thunder | Thunder | 雷霆 | 雷 | lightning | storm,thunder | storm | 雷霆 | Thunder | lightning | storm,
QA held-out example,VAL_QA_020,thunderstorm,140,under,"storm | <|im_end|> | 雷 | , | and | ，",16,ing | er | n | rr | ly | str,thunder | 雷霆 | lightning | Thunder | Lightning | 雷,thunder | 雷霆 | lightning | ing | 雷 | Thunder,thunder | lightning | 雷霆 | ing | 雷 | 底蕴,
QA held-out example,VAL_QA_020,thunderstorm,140,under,"storm | <|im_end|> | 雷 | , | and | ，",20,ing | ous | m | 唤 | 母 | ition,thunder | ing | 雷 | Thunder | 雷霆 | 雳,thunder | ing | 雷 | 雷霆 | 雳 | storm,thunder | 雷 | storm | ing | 雷霆 | lightning,
QA held-out example,VAL_QA_020,thunderstorm,140,under,"storm | <|im_end|> | 雷 | , | and | ，",24,ing | 雷 | ous | 盆 | 不下 | ,"thunder |  | 雷 | storm | , | sound",thunder | storm | 雷 |  | ing | storm,thunder | storm | 雷 | storm | Storm | rain,
QA held-out example,VAL_QA_020,thunderstorm,140,under,"storm | <|im_end|> | 雷 | , | and | ，",28,雷 | ing | 滚 | Rolling | storm | roll,storm | <|im_end|> | 雷 | thunder | storm | rolling,storm | <|im_end|> | thunder | 雷 | storm | rolling,storm | <|im_end|> | thunder | 雷 | rolling | and,
QA held-out example,VAL_QA_020,thunderstorm,140,under,"storm | <|im_end|> | 雷 | , | and | ，",30,"storm | 雷 | , | <|im_end|> | and | sound","<|im_end|> | storm | , | and | 雷 | sound","<|im_end|> | storm | , | and | 雷 | sound","<|im_end|> | storm | , | and | 雷 | sound",
QA held-out example,VAL_QA_020,thunderstorm,141,storm,"<|im_end|> | , | ， | and | with | ",0," | er | ed | , | . | al",仍然 | 应当 | 遗忘 | 沿着 | 潮 | 医师,欢迎您 | 仍然 | 应当 | 但是我 | winds | 牢记,委组织部 | 牢记 | 被打 | <|im_end|> | STEM | ingly,
QA held-out example,VAL_QA_020,thunderstorm,141,storm,"<|im_end|> | , | ， | and | with | ",8,y | . | 过后 | 睿 | 实物 | 碟,暴雨 | 风暴 | storm | 雨 | storm | 暴风,雨 | storm | 风暴 | 暴雨 | storm | weather,雨 | storm | weather | 天气 | thunder | rain,
QA held-out example,VAL_QA_020,thunderstorm,141,storm,"<|im_end|> | , | ， | and | with | ",16,拔 | ing | y | imo | 老 | 亲,雨 | ing | 暴雨 | storm | in | weather,雨 | ing | storm | weather | 暴雨 | .com,ing | 雨 | .com | 先生 | lightning | weather,
QA held-out example,VAL_QA_020,thunderstorm,141,storm,"<|im_end|> | , | ， | and | with | ",20,y | ing | 过后 | 老 | 拔 | 聋,", | ing | . | 暴雨 | in | 来临","ing | lightning | 来临 | , | 雨 | and",lightning | 雨 | ing | 来临 | 这个词 | thunder,
QA held-out example,VAL_QA_020,thunderstorm,141,storm,"<|im_end|> | , | ， | and | with | ",24,雷 | y | 不下 | 过后 | 云 | 发电,", |  | thunder | 大雨 | rain | ","thunder | , | <|im_end|> |  | 大雨 | rain",thunder | <|im_end|> | 雨 | rain | ， | lightning,
QA held-out example,VAL_QA_020,thunderstorm,141,storm,"<|im_end|> | , | ， | and | with | ",28,发电 | 里 | 雷 | 接 | 是以 | y,"<|im_end|> | , | 发电 | 里 | ， | ","<|im_end|> | 发电 | , | ， | 里 | 电","<|im_end|> | ， | 发电 | , | 、 | 电",
QA held-out example,VAL_QA_020,thunderstorm,141,storm,"<|im_end|> | , | ， | and | with | ",30,", | <|im_end|> |  | and | [ | with","<|im_end|> | , | ， | and |  | with","<|im_end|> | , | ， | and | 、 | with","<|im_end|> | , | ， | 、 | and | 的",
QA held-out example,VAL_QA_030,car_horn,137,什麼,<|im_end|> | 。 | 样的 | ？ | 樣 | 。,0,iate | scal | stand | 着 | 固体 | 量,徵 | 佔 | 什麼 | 採 | 著 | 於,徵 | 叫做 | 著 | 製作 | 佔 | 採,♯ | 是我 | 淡化 | ype | 舍 | 是我的,
QA held-out example,VAL_QA_030,car_horn,137,什麼,<|im_end|> | 。 | 样的 | ？ | 樣 | 。,8,exact | 样的 | as | 了 | 人大 | 双,？ | 叫做 | 样子 | 叫 | 什麼 | 呢,？ | ？ | 呢 | 叫 | 声音 | 样子,"？ | ？ | ? | 呢 | ？ | ?""",
QA held-out example,VAL_QA_030,car_horn,137,什麼,<|im_end|> | 。 | 样的 | ？ | 樣 | 。,16,样的 | 样 | 样子 | 分级 | kind | 及其,样的 | 什麼 | ？ | 样子 | 製 | ？,？ | 样的 | ？ | 样子 | ？」 | 製,？ | ？ | 样的 | ？」 | 样子 | 回事,
QA held-out example,VAL_QA_030,car_horn,137,什麼,<|im_end|> | 。 | 样的 | ？ | 樣 | 。,20,样的 | 样子 | 样 | 樣 | 及其 | 性质,样的 | 样子 | 样 | ？ | 樣 | ？,样的 | 样子 | ？ | ？ | 样 | 、「,样的 | 样子 | ？ | ？ | 、「 | 样,
QA held-out example,VAL_QA_030,car_horn,137,什麼,<|im_end|> | 。 | 样的 | ？ | 樣 | 。,24,样的 | 样子 | kind | 模 | 性质 | type,样的 | 样子 | <|im_end|> | ？ | ？ | 樣,样的 | 样子 | ？ | <|im_end|> | ？ | ?,样的 | ？ | 样子 | ？ | <|im_end|> | ?,
QA held-out example,VAL_QA_030,car_horn,137,什麼,<|im_end|> | 。 | 样的 | ？ | 樣 | 。,28,样的 | 样子 | 型 | <|im_end|> | 模 | 樣,<|im_end|> | 样的 | 样子 | 樣 | <|im_start|> | 型,<|im_end|> | 样的 | 样子 | 樣 | 型 | <|im_start|>,<|im_end|> | 样的 | 样子 | 樣 | 型 | ？,
QA held-out example,VAL_QA_030,car_horn,137,什麼,<|im_end|> | 。 | 样的 | ？ | 樣 | 。,30,<|im_end|> | 样的 | 型 | 样子 | 类型的 | 種,<|im_end|> | 样的 | <|im_start|> | 樣 | 样子 | 型,<|im_end|> | 样的 | 樣 | 。 | 样子 | <|im_start|>,<|im_end|> | 样的 | 。 | ？ | ？ | 型,
QA held-out example,VAL_QA_030,car_horn,139,car,", | horn | <|im_end|> | hon | horns | alarm",0," | / | ... | ... | , | *",极 | car | 援助 | 超 | 胰 | 人们,极 | car | 随 | res | 马来 | 超,<|midi_pitch_89|> | <|midi_pitch_60|> | <|midi_pitch_31|> | <|midi_pitch_24|> | 芥 | <|midi_pitch_33|>,
QA held-out example,VAL_QA_030,car_horn,139,car,", | horn | <|im_end|> | hon | horns | alarm",8,", | . |  | tr | A | -",car | car | 里面 | 运 | 车主 | home,car | car | 车主 | 里面 | á | 车,car | car | endar | 车主 | 车 | traffic,
QA held-out example,VAL_QA_030,car_horn,139,car,", | horn | <|im_end|> | hon | horns | alarm",16,v | 小微 | er | ot | 数目 | �,"car | c | er | , | v | s",car | cl | driver | 车 | car | c,car | driver | 车 | cars | ， | driving,
QA held-out example,VAL_QA_030,car_horn,139,car,", | horn | <|im_end|> | hon | horns | alarm",20,"彩 | v | , | 旅馆 | les | er",", | <|endoftext|> | . | le | st | ar","sound | car | har | , | train | m",car | ， | engine | sound | har | st,
QA held-out example,VAL_QA_030,car_horn,139,car,", | horn | <|im_end|> | hon | horns | alarm",24,"horn | 喇叭 | horns | 告 | hon | ,","sound | 喇叭 | horn | alarm | 的声音 | ,",horn | sound | 喇叭 | car | alarm | sounds,car | horn | 喇叭 | sound | alarm | sounds,
QA held-out example,VAL_QA_030,car_horn,139,car,", | horn | <|im_end|> | hon | horns | alarm",28,horn | hon | horns | alarm | pass | passed,horn | hon | horns | alarm | 喇叭 | alarm,horn | hon | alarm | 喇叭 | horns | alarm,horn | hon | alarm | 喇叭 | <|im_end|> | alarm,
QA held-out example,VAL_QA_030,car_horn,139,car,", | horn | <|im_end|> | hon | horns | alarm",30,", | hon | horn | pass | alarm | passing",", | <|im_end|> | hon | horn | pass | alarm",", | <|im_end|> | hon | horn | pass | alarm",", | <|im_end|> | hon | horn | pass | alarm",
QA held-out example,VAL_QA_030,car_horn,140,_h,orn | on | horn | orne | ORN | Horn,0,2 |  | a | 1 | 4 | k,商业 | /h | o | _h | (h | 欢,o | _h | _ | /h | _n | _{,scape | _ | o | ופ | 备用 | _,
QA held-out example,VAL_QA_030,car_horn,140,_h,orn | on | horn | orne | ORN | Horn,8,o | re | ew | A | 欠 | ob,_ | /h | _ | sh | h | _h,_ | __ | _ | _h | sh | /h,__ | _ | _h | aab | 不用 | o,
QA held-out example,VAL_QA_030,car_horn,140,_h,orn | on | horn | orne | ORN | Horn,16,re | 而去 | ach | est | ob | Stand,_ | _ | __ | ._ | _h | _s,_ | _ | __ | ._ | _s | _h,_ | __ | _ | _s | _h | ._,
QA held-out example,VAL_QA_030,car_horn,140,_h,orn | on | horn | orne | ORN | Horn,20,ach | oor | ing | add | 莽 | thus,_ | _ | __ | 声音 | ._ | 的声音,_ | _ | __ | _h | 声音 | _s,_ | _ | _h | _s | _C | __,
QA held-out example,VAL_QA_030,car_horn,140,_h,orn | on | horn | orne | ORN | Horn,24,oon | horns | 挺 | horn | 已有 | 欠,的声音 | 声 | 声音 | car | 报警 | 之声,car | 的声音 | 声音 | oon | 声 | 喇叭,car | oon | engine | heels | _ | 喇叭,
QA held-out example,VAL_QA_030,car_horn,140,_h,orn | on | horn | orne | ORN | Horn,28,horn | horns | oon | hon | básico | 挺,horn | hon | horns | oon | h | hon,horn | hon | oon | hon | h | horns,hon | horn | oon | hon | 喇叭 | 哨,
QA held-out example,VAL_QA_030,car_horn,140,_h,orn | on | horn | orne | ORN | Horn,30,on | orn | horn | hon | oon | horns,orn | on | horn | oon | hon | oot,orn | on | horn | hon | oon | oot,orn | on | horn | hon | oon | oot,
QA held-out example,VAL_QA_030,car_horn,141,orn,<|im_end|> | _h | beep | 的 | Be | -,0,抢 | 宁静 | 肩 | 春 | 看看 | 绿色环保,遗忘 | horn | 号 | 绽放 | 折扣 | 诺,horn | igh | 诺 | 馄 | mycket | regelm,<|im_end|> | 營 | regelm | persönlich | igh | parametro,
